created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,screen_name,followers_count,friends_count,hashtags,user_mentions,place,score,hour,day
2021-06-18 17:56:25+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","i’m pleased to welcome the wecandothis bus to atlanta today! remember, there are 3 easy ways to find a covid19 vaccine near you:  
🔍 search https://t.co/d2pdwips8o  
📱text your zip code to 438829  
📞 call 1-800-232-0233 https://t.co/ammcmmctip",0.5083333333333333,0.7833333333333333,en,683.0,220.0,Sandhra Lee,SandhraLee,759,4163,#WeCanDoThis #COVID19, 'Rochelle Walensky,USA,positive,17,18
2021-06-18 17:56:47+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","it is really something to see new research coming out about damage to the brain, heart, and more from covid19. and then watch our government reopen everything and just let covid and deltavariant spread wildly throughout our country.

vaccines are great but we need to do more https://t.co/o8vx9tky0q",0.3727272727272727,0.4674242424242424,en,3.0,1.0,Sonia Bilbao,DarkaDuna2014,94,144,#Covid19. #DeltaVariant, 'LongCovidNYC',"Bilbao, País Vasco",positive,17,18
2021-06-18 17:57:18+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","it is really something to see new research coming out about damage to the brain, heart, and more from covid19. and then watch our government reopen everything and just let covid and deltavariant spread wildly throughout our country.

vaccines are great but we need to do more https://t.co/o8vx9tky0q",0.3727272727272727,0.4674242424242424,en,5.0,3.0,MayasMommy2 #NotMeUs,SheriD17536431,470,1240,#Covid19. #DeltaVariant, 'LongCovidNYC',Nashville,positive,17,18
2021-06-18 17:57:20+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@drtedros less than 2% of africa’s population has been vaccinated.

vaccines donated next year will be far too late for those who are dying today, or being infected today, or at risk today-@drtedros covid19 vaccinequity",-0.0916666666666666,0.4166666666666666,en,55.0,32.0,Chris Ramsden #FBPE #FBPA #RTTG,ChrisRamsden4,678,570,#COVID19 #VaccinEquity, 'World Health Organization (WHO)',Kent,negative,17,18
2021-06-18 17:57:22+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","so glad to join training day for the dc covid19 community corps

they will be going door to door and attending events to encourage residents to taketheshotdc 

together, we’ll crush the virus! https://t.co/q3mpcnzfjl https://t.co/nibvfurhtd",0.625,1.0,en,6.0,3.0,Steve Walker,stevenlwalker,5769,1848,#COVID19 #TakeTheShotDC, 'John J. Falcicchio',Bending stuff towards justice,positive,17,18
2021-06-18 17:57:40+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","that's great. but there are now *zero* appointments available within a 6 hour driving radius of winnipeg for anyone who can only get pfizer for shot 2. 

save pfizer for our kids. they don't have a choice between vaccines.

@kindrachukjason @souradets mbpoli",0.4000000000000001,0.7166666666666667,en,29.0,5.0,Signpost Poetry,signpostpoetry,850,1827,#mbpoli, 'Jillian',Treaty One,positive,17,18
2021-06-18 17:57:43+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","africa is in the midst of a full blown third wave. the sobering trajectory of surging cases should rouse everyone into urgent action. 

we’ve seen in india and elsewhere just how quickly covid19 can rebound and overwhelm health systems.",0.1958333333333333,0.2875,en,68.0,78.0,Yuccaldo #ZeroCovid 😷,yuccaldo,1309,2618,#COVID19, 'Dr Matshidiso Moeti',"#mRNA/@pfizer 1.shot, 23.04",positive,17,18
2021-06-18 17:57:48+00:00,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","it is really something to see new research coming out about damage to the brain, heart, and more from covid19. and then watch our government reopen everything and just let covid and deltavariant spread wildly throughout our country.

vaccines are great but we need to do more https://t.co/o8vx9tky0q",0.3727272727272727,0.4674242424242424,en,6.0,4.0,RGC_AnthonyJK - Sex Lefty 🌹✊🏿🇵🇸,RGC_BPPA,2689,5003,#Covid19. #DeltaVariant, 'LongCovidNYC',"Lafayette, Louisiana",positive,17,18
2021-06-18 17:57:59+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ernreconnet meeting: sle and covid19 vaccines 

that's the reason why erns were developed...

patientsinvolvement bestpractices for people living with systemiclupuserythematosus https://t.co/ijluiiioyn",0.1,0.3,en,6.0,4.0,Ignasi,NatxRP,70,305,#ERNReCONNET #SLE #COVID19 #vaccines #patientsinvolvement #bestpractices #SystemicLupusErythematosus, 'ERN ReCONNET 🇪🇺',"Barcelona, Espanya",positive,17,18
2021-06-18 17:57:59+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","africa needs millions more doses here &amp; now to curb the third wave.

in the midst of a third wave of covid19 cases in africa, dr @moetitshidi calls out for much-needed covid-19 vaccine doses during this critical time. https://t.co/kudpxpqq22",0.125,0.325,en,62.0,48.0,Yuccaldo #ZeroCovid 😷,yuccaldo,1309,2619,"#COVID19 #Africa,", 'WHO African Region',"#mRNA/@pfizer 1.shot, 23.04",positive,17,18
